App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
02-Pacman,GameControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/GameControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/GameController.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,ArenaControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/ArenaControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/ArenaController.java,,,4,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,InkyMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/InkyMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/InkyMovementBehaviour.java,,,6,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,GhostMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/GhostMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/GhostMovementBehaviour.java,,,5,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,BlinkyMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/BlinkyMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/BlinkyMovementBehaviour.java,,,7,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,PinkyMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/PinkyMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/PinkyMovementBehaviour.java,,,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,ClydeMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/ClydeMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/ClydeMovementBehaviour.java,,,10,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,PacmanControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/PacmanControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/PacmanController.java,,,19,true,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false
02-Pacman,GhostControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/GhostControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/GhostController.java,,,7,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false
02-Pacman,CollisionControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/CollisionControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/CollisionController.java,,,9,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false
02-Pacman,DyingStateControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/DyingStateControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/DyingStateController.java,,,3,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false
02-Pacman,ControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/ControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/Controller.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,MainMenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/MainMenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/MainMenuController.java,,,8,true,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false
02-Pacman,AlertMenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/AlertMenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/AlertMenuController.java,,,4,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,PauseMenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/PauseMenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/PauseMenuController.java,,,6,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,MenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/MenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/MenuController.java,,,8,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false
02-Pacman,MapSelectionMenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/MapSelectionMenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/MapSelectionMenuController.java,,,4,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false
02-Pacman,ViewerFactoryWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/ViewerFactoryWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/ViewerFactory.java,,,6,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
02-Pacman,ModelViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/ModelViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/ModelViewer.java,,,4,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false
02-Pacman,ArenaViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/game/ArenaViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/game/ArenaViewer.java,,,3,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,PacmanStrategyWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/game/strategies/PacmanStrategyWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/game/strategies/PacmanStrategy.java,,,4,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,false,false
02-Pacman,MultipleElementStrategyWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/game/strategies/MultipleElementStrategyWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/game/strategies/MultipleElementStrategy.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,GhostStrategyWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/game/strategies/GhostStrategyWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/game/strategies/GhostStrategy.java,,,5,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,false,false
02-Pacman,MovableElementViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/game/MovableElementViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/game/MovableElementViewer.java,,,3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
02-Pacman,ElementViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/game/ElementViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/game/ElementViewer.java,,,3,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
02-Pacman,ImageLoaderWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/game/ImageLoaderWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/game/ImageLoader.java,,,6,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false
02-Pacman,ViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/ViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/Viewer.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,PauseMenuViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/menu/PauseMenuViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/menu/PauseMenuViewer.java,,,2,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
02-Pacman,MapSelectionMenuViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/menu/MapSelectionMenuViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/menu/MapSelectionMenuViewer.java,,,2,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
02-Pacman,AlertMenuViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/menu/AlertMenuViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/menu/AlertMenuViewer.java,,,3,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,MainMenuViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/menu/MainMenuViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/menu/MainMenuViewer.java,,,2,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
02-Pacman,TextBoxViewerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/viewer/TextBoxViewerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/viewer/TextBoxViewer.java,,,2,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false
02-Pacman,AudioPlayerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/audio/AudioPlayerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/audio/AudioPlayer.java,,,3,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false
02-Pacman,AudioManagerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/audio/AudioManagerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/audio/AudioManager.java,,,11,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,GameWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/GameWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/Game.java,,,7,true,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,false,false,false,false,false
02-Pacman,DyingStateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/states/game/DyingStateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/states/game/DyingState.java,,,3,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,GameStateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/states/game/GameStateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/states/game/GameState.java,,,6,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,PauseMenuStateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/states/menu/PauseMenuStateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/states/menu/PauseMenuState.java,,,4,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
02-Pacman,MapSelectionMenuStateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/states/menu/MapSelectionMenuStateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/states/menu/MapSelectionMenuState.java,,,4,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
02-Pacman,AlertMenuStateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/states/menu/AlertMenuStateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/states/menu/AlertMenuState.java,,,5,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,MainMenuStateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/states/menu/MainMenuStateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/states/menu/MainMenuState.java,,,4,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
02-Pacman,StateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/states/StateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/states/State.java,,,4,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,LanternaGUIWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/gui/LanternaGUIWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/gui/LanternaGUI.java,,,13,true,true,false,false,false,true,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false
02-Pacman,GUIWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/gui/GUIWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/gui/GUI.java,,,3,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false
02-Pacman,ElementWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/ElementWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/Element.java,,,8,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false
02-Pacman,PacmanWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/pacman/PacmanWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/pacman/Pacman.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,CoinWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/collectibles/CoinWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/collectibles/Coin.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,PowerUpWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/collectibles/PowerUpWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/collectibles/PowerUp.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,StrawberryWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/collectibles/StrawberryWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/collectibles/Strawberry.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,OrangeWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/collectibles/OrangeWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/collectibles/Orange.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,CollectibleWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/collectibles/CollectibleWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/collectibles/Collectible.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,KeyWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/collectibles/KeyWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/collectibles/Key.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,CherryWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/collectibles/CherryWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/collectibles/Cherry.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,AppleWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/collectibles/AppleWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/collectibles/Apple.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,MovableElementWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/MovableElementWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/MovableElement.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,InkyWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/ghost/InkyWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/ghost/Inky.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,GhostWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/ghost/GhostWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/ghost/Ghost.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,PinkyWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/ghost/PinkyWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/ghost/Pinky.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,ClydeWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/ghost/ClydeWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/ghost/Clyde.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,GhostStateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/ghost/GhostStateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/ghost/GhostState.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,BlinkyWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/ghost/BlinkyWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/ghost/Blinky.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,GhostGateWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/GhostGateWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/GhostGate.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,WallWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/WallWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/Wall.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,DirectionWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/element/DirectionWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/element/Direction.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,ArenaWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/ArenaWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/Arena.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,ArenaLoaderWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/game/ArenaLoaderWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/game/ArenaLoader.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,PositionWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/PositionWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/Position.java,,,8,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false
02-Pacman,MapSelectionMenuWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/menu/MapSelectionMenuWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/menu/MapSelectionMenu.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,MainMenuWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/menu/MainMenuWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/menu/MainMenu.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,TextBoxWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/menu/element/TextBoxWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/menu/element/TextBox.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,MenuWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/menu/MenuWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/menu/Menu.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,MenuOptionsWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/menu/MenuOptionsWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/menu/MenuOptions.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,PauseMenuWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/menu/PauseMenuWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/menu/PauseMenu.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,AlertMenuWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/model/menu/AlertMenuWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/model/menu/AlertMenu.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
